.index	clade_index	PhyloNode_index	function_annotation	color	super_clade		unique_clades	unique_clades_colors
1	Clade_1	NA	amino_acids	#c9a200	Amino_Acids		Starter	#114477
2	Clade_10	NA	aromatic_Starter	#750c9a	Starter		Amino_Acids	#4477AA
3	Clade_100	NA	b_OH	#45ff3f	bOH|keto		specialized	#77AADD
4	Clade_11	NA	oxygen_insertion	#d247be	specialized			
5	Clade_12	NA	reduced|shifted_double_bonds	#9a0c0c	reduced|shifted_double_bonds		bOH|keto	#117777
6	Clade_13	NA	various_specificities	#ffffff	ambigious		aOH_bOH	#44AAAA
7	Clade_14	NA	various_specificities	#ffffff	ambigious		aMe_bOH	#77CCCC
8	Clade_15	NA	reduced|shifted_double_bonds	#9a0c0c	reduced|shifted_double_bonds			
9	Clade_16	NA	mainly_reduced	#9a0c0c	reduced|shifted_double_bonds		double_bond	#117744
10	Clade_17	NA	various_specificities	#ffffff	ambigious		aMe_double_bond	#44AA77
11	Clade_18	NA	reduced	#9a0c0c	reduced|shifted_double_bonds			
12	Clade_19	NA	methoxycarbonyl_Starter	#750c9a	Starter		reduced|shifted_double_bonds	#774411
13	Clade_2	NA	amino_acids	#c9a200	Amino_Acids		bMe	#AA7744
14	Clade_20	NA	amino_acids	#c9a200	Amino_Acids		aMe_red	#DDAA77
15	Clade_21	NA	reduced|shifted_double_bonds	#9a0c0c	reduced|shifted_double_bonds			
16	Clade_22	NA	b_OH	#45ff3f	bOH|keto		bOH|eDB	#771122
17	Clade_23	NA	pyran	#3a97d0	specialized		bOMe	#AA4455
18	Clade_24	NA	pyran	#3a97d0	specialized		exometh	#DD7788
19	Clade_25	NA	pyran|furan	#3a97d0	specialized			
20	Clade_26	NA	reduced	#9a0c0c	reduced|shifted_double_bonds		non_elongating	#AA4488
21	Clade_27	NA	a_Me	#00e8ee	aMe_red			
22	Clade_28	NA	eDB	#254980	double_bond		ambigious	#DCDCDC
23	Clade_29	NA	b_OH|keto	#676767	bOH|keto		cis-AT_PKS-like	#DCDCDC
24	Clade_3	NA	bimod_bOH	#45ff3f	bOH|keto			
25	Clade_30	NA	glycine	#c9a200	Amino_Acids			
26	Clade_31	NA	eDB	#254980	double_bond			
27	Clade_32	NA	b_keto	#676767	bOH|keto			
28	Clade_33	NA	non_elongating	#db3d3d	non_elongating			
29	Clade_34	NA	non_elongating_hemiacetal	#db3d3d	non_elongating			
30	Clade_35	NA	non_elongating_b_OH	#db3d3d	non_elongating			
31	Clade_36	NA	non_elongating	#db3d3d	non_elongating			
32	Clade_37	NA	mainly_b_OH	#45ff3f	bOH|keto			
33	Clade_38	NA	reduced	#9a0c0c	reduced|shifted_double_bonds			
34	Clade_39	NA	vinylogous_chain_branching	#00721f	specialized			
35	Clade_4	NA	bimod_bOH	#45ff3f	bOH|keto			
36	Clade_40	NA	cis-AT_PKS-like	#ffffff	cis-AT_PKS-like			
37	Clade_41	NA	acetyl_Starter	#750c9a	Starter			
38	Clade_42	NA	DB|DB_Starter	#750c9a	Starter			
39	Clade_43	NA	zDB	#254980	double_bond			
40	Clade_44	NA	oxazole	#c9a200	specialized			
41	Clade_45	NA	lactate_Starter	#750c9a	Starter			
42	Clade_46	NA	aMe_eDB	#2da8b2	aMe_double_bond			
43	Clade_47	NA	aMe_eDB	#2da8b2	aMe_double_bond			
44	Clade_48	NA	aMe_eDB	#2da8b2	aMe_double_bond			
45	Clade_49	NA	non_elongating_b_OH	#db3d3d	non_elongating			
46	Clade_5	NA	shifted_double_bonds	#9a0c0c	reduced|shifted_double_bonds			
47	Clade_50	NA	b_OH	#45ff3f	bOH|keto			
48	Clade_51	NA	b_OH	#45ff3f	bOH|keto			
